iter	Passed	Remaining
0	144	143954
1	151	75771
2	158	52663
3	166	41432
4	174	34724
5	181	30140
6	189	26912
7	198	24578
8	206	22699
9	214	21241
10	223	20055
11	231	19075
12	239	18210
13	247	17463
14	256	16861
15	264	16247
16	272	15731
17	279	15251
18	287	14865
19	295	14483
20	303	14130
21	310	13783
22	317	13477
23	325	13217
24	331	12938
25	339	12704
26	346	12498
27	355	12330
28	363	12155
29	370	11976
30	377	11815
31	386	11704
32	394	11570
33	400	11388
34	407	11245
35	415	11128
36	422	10998
37	430	10899
38	438	10812
39	447	10732
40	454	10628
41	461	10523
42	468	10429
43	475	10335
44	483	10267
45	492	10205
46	499	10128
47	506	10053
48	514	9980
49	522	9930
50	531	9889
51	539	9837
52	547	9781
53	555	9733
54	563	9679
55	571	9633
56	579	9587
57	586	9533
58	594	9488
59	602	9437
60	609	9389
61	618	9350
62	626	9311
63	634	9272
64	641	9225
65	649	9185
66	657	9154
67	665	9118
68	673	9081
69	680	9046
70	688	9012
71	695	8969
72	703	8930
73	710	8894
74	718	8866
75	726	8832
76	734	8808
77	743	8782
78	751	8756
79	758	8720
80	765	8685
81	772	8653
82	781	8629
83	788	8596
84	795	8562
85	802	8527
86	809	8496
87	817	8467
88	823	8430
89	831	8404
90	839	8383
91	846	8354
92	853	8326
93	860	8296
94	868	8268
95	876	8253
96	884	8237
97	891	8208
98	898	8179
99	906	8155
100	913	8129
101	921	8111
102	929	8098
103	937	8077
104	945	8055
105	953	8038
106	960	8016
107	967	7994
108	975	7977
109	983	7959
110	991	7941
111	999	7925
112	1007	7909
113	1015	7895
114	1024	7885
115	1032	7866
116	1039	7845
117	1047	7826
118	1054	7805
119	1062	7790
120	1070	7777
121	1078	7759
122	1085	7740
123	1092	7717
124	1099	7697
125	1107	7681
126	1114	7661
127	1122	7646
128	1129	7627
129	1138	7617
130	1146	7603
131	1153	7586
132	1161	7569
133	1169	7557
134	1177	7542
135	1184	7523
136	1191	7505
137	1199	7494
138	1207	7482
139	1215	7469
140	1223	7452
141	1232	7445
142	1236	7411
143	1245	7401
144	1252	7387
145	1260	7372
146	1267	7354
147	1275	7341
148	1282	7323
149	1289	7305
150	1296	7290
151	1304	7276
152	1310	7257
153	1318	7241
154	1325	7227
155	1332	7209
156	1339	7192
157	1347	7178
158	1353	7160
159	1360	7142
160	1368	7131
161	1376	7121
162	1384	7108
163	1391	7093
164	1398	7078
165	1406	7066
166	1414	7055
167	1422	7043
168	1429	7029
169	1437	7018
170	1445	7005
171	1452	6990
172	1460	6979
173	1468	6973
174	1477	6963
175	1484	6950
176	1492	6937
177	1499	6925
178	1507	6912
179	1514	6898
180	1522	6888
181	1530	6877
182	1538	6867
183	1545	6854
184	1552	6841
185	1560	6828
186	1567	6817
187	1575	6805
188	1582	6791
189	1589	6776
190	1597	6765
191	1604	6753
192	1612	6743
193	1621	6735
194	1628	6724
195	1636	6714
196	1643	6699
197	1650	6686
198	1659	6678
199	1667	6669
200	1674	6658
201	1682	6644
202	1690	6636
203	1698	6627
204	1705	6615
205	1713	6605
206	1721	6596
207	1729	6586
208	1737	6574
209	1744	6564
210	1752	6552
211	1759	6541
212	1768	6533
213	1776	6524
214	1785	6517
215	1792	6506
216	1800	6495
217	1807	6485
218	1815	6473
219	1822	6460
220	1830	6452
221	1838	6444
222	1847	6435
223	1854	6425
224	1862	6415
225	1870	6407
226	1879	6399
227	1887	6389
228	1894	6378
229	1902	6368
230	1909	6358
231	1917	6347
232	1926	6340
233	1933	6329
234	1940	6317
235	1948	6308
236	1957	6303
237	1966	6295
238	1973	6284
239	1980	6270
240	1988	6261
241	1995	6251
242	2003	6241
243	2010	6230
244	2018	6221
245	2027	6214
246	2035	6204
247	2042	6194
248	2051	6187
249	2059	6177
250	2067	6169
251	2075	6160
252	2083	6152
253	2092	6144
254	2099	6134
255	2107	6125
256	2114	6114
257	2121	6102
258	2129	6093
259	2137	6084
260	2145	6076
261	2153	6067
262	2162	6058
263	2169	6048
264	2177	6038
265	2185	6029
266	2192	6019
267	2199	6007
268	2207	5998
269	2215	5989
270	2223	5980
271	2231	5971
272	2238	5960
273	2245	5949
274	2252	5939
275	2261	5932
276	2269	5923
277	2277	5914
278	2284	5904
279	2292	5895
280	2300	5885
281	2307	5874
282	2315	5866
283	2324	5859
284	2332	5850
285	2339	5839
286	2347	5830
287	2355	5822
288	2362	5811
289	2369	5801
290	2376	5791
291	2384	5782
292	2392	5772
293	2399	5762
294	2408	5754
295	2415	5746
296	2423	5737
297	2431	5727
298	2438	5717
299	2446	5707
300	2454	5698
301	2462	5690
302	2469	5681
303	2477	5672
304	2485	5664
305	2493	5656
306	2501	5647
307	2510	5641
308	2518	5631
309	2526	5623
310	2534	5614
311	2541	5605
312	2549	5596
313	2558	5588
314	2565	5579
315	2573	5569
316	2580	5560
317	2589	5553
318	2598	5546
319	2605	5537
320	2613	5528
321	2621	5519
322	2628	5509
323	2636	5500
324	2644	5492
325	2653	5485
326	2660	5476
327	2667	5466
328	2675	5456
329	2683	5448
330	2691	5439
331	2698	5430
332	2707	5422
333	2715	5413
334	2722	5403
335	2730	5395
336	2738	5387
337	2746	5378
338	2754	5371
339	2762	5362
340	2770	5353
341	2777	5344
342	2786	5337
343	2794	5329
344	2802	5319
345	2809	5311
346	2817	5302
347	2825	5293
348	2832	5284
349	2840	5275
350	2848	5266
351	2855	5256
352	2862	5246
353	2870	5238
354	2878	5230
355	2885	5220
356	2893	5210
357	2900	5201
358	2908	5192
359	2917	5185
360	2924	5177
361	2932	5167
362	2939	5158
363	2947	5150
364	2956	5142
365	2963	5134
366	2972	5126
367	2980	5118
368	2988	5109
369	2994	5099
370	3002	5090
371	3010	5082
372	3019	5075
373	3026	5066
374	3034	5057
375	3041	5048
376	3049	5040
377	3057	5031
378	3065	5022
379	3072	5013
380	3080	5005
381	3088	4996
382	3096	4987
383	3103	4978
384	3111	4970
385	3118	4961
386	3126	4951
387	3134	4943
388	3142	4936
389	3150	4927
390	3157	4918
391	3164	4908
392	3172	4900
393	3180	4891
394	3187	4882
395	3195	4874
396	3204	4866
397	3211	4857
398	3219	4849
399	3226	4840
400	3234	4831
401	3243	4824
